Titel,Format,Guide-Kommentar,PERMA,Prompt-Link,Quelle,link,Thema,Visual,Warum sehe ich das?,Bildpfad
Seneca: Über die Kürze des Lebens,Zitat,"Die Kürze des Lebens ist nicht das Schlimme. Das Schlimme ist, dass wir einen großen Teil davon verschwenden.",Meaning,Visual Quote Generator (https://www.notion.so/Visual-Quote-Generator-f2c68c8a21414510ba960ad095669a63?pvs=21),Letters from a Stoic,https://www.gutenberg.org/ebooks/4276,Zeit & Endlichkeit,Sand rinnt zwischen nackten Dielen,Weil dir die Realität der Zeitverschwendung ins Gesicht schlägt und du keinen Bock auf leere Phrasen hast.,/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_zeit_endlichkeit_seneca_ueber_die.jpg
The 80/20 Rule für Beziehungen,Artikel,80% deiner Lebensqualität kommt von 20% deiner Beziehungen. Zeit für ein Audit?,Relationships,,Own Research,https://markmanson.net/80-20-relationships,Beziehungen,"Zwei Stühle, zwanzig stehen leer","- „Du siehst diesen Artikel, weil du die Realität der Beziehungen anpacken willst, ohne dir etwas vorzumachen.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_beziehungen_the_80_20.jpg
Memento Mori – Die Kunst des bewussten Lebens,Artikel,"Die Stoiker dachten jeden Tag an den Tod. Nicht weil sie depressiv waren, sondern weil sie wach waren.",Meaning,Guide Tonalität (https://www.notion.so/Guide-Tonalit-t-627b3df2ad3a46f49776afce422fb7c2?pvs=21),The Daily Stoic,https://dailystoic.com/memento-mori,Zeit & Endlichkeit,Schatten verlängert sich über Stein,"- „Du siehst diesen Artikel, weil du die Realität der Vergänglichkeit nicht ignorieren kannst und dir bewusst ist, dass es Zeit ist, die Dinge klarer zu sehen.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_zeit_endlichkeit_memento_mori_die.jpg
Your Life in Weeks,Artikel,Jede Woche ist ein Pixel. Du hast ~4.000 davon. Wie viele hast du schon verschwendet?,Meaning,Guide Tonalität (https://www.notion.so/Guide-Tonalit-t-627b3df2ad3a46f49776afce422fb7c2?pvs=21),Wait But Why (Tim Urban),https://waitbutwhy.com/2014/05/life-weeks.html,Zeit & Endlichkeit,Einzelne Quadrate lösen sich auf,"- „Du siehst diesen Artikel, weil du dir die Vergänglichkeit deines Lebens bewusst machen willst.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_zeit_endlichkeit_your_life_in2.jpg
Digital Detox – 30 Tage Challenge,Artikel,"Dein Phone ist nicht das Problem. Deine Unfähigkeit, Nein zu sagen, schon.",Accomplishment,,Cal Newport,https://calnewport.com/on-digital-minimalism,Wachstum,Ausgeschalteter Bildschirm reflektiert Raum,"- „Du siehst diesen Artikel, weil du einfach mal einen Break von der digitalen Überflutung brauchst.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_wachstum_digital_detox_30.jpg
Wer bin ich wirklich?,Artikel,Die meisten Menschen spielen ihr Leben lang eine Rolle. Vielleicht ist es Zeit für die Maske-ab-Szene.,Engagement,Guide Tonalität (https://www.notion.so/Guide-Tonalit-t-627b3df2ad3a46f49776afce422fb7c2?pvs=21),The School of Life,https://www.theschooloflife.com/article/who-am-i,Selbsterkenntnis,Spiegel ohne Reflexion im Zwielicht,"Du siehst diesen Artikel, weil du die Rolle, die du spielst, leid bist und nach echtem Verständnis suchst.“ ",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_selbsterkenntnis_wer_bin_ich.jpg
Deliberate Practice – Der Weg zur Meisterschaft,Artikel,10.000 Stunden machen dich nicht zum Meister. 10.000 Stunden bewusste Praxis schon.,Accomplishment,,Anders Ericsson,https://fs.blog/deliberate-practice-guide,Wachstum,Gealterte Holzstufen tief abgenutzt,"- „Du siehst diesen Artikel, weil du nicht für leere Versprechen, sondern für echte, bewusste Praxis hier bist.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_wachstum_deliberate_practice_der.jpg
Purpose Discovery Workshop,Event,Der Sinn deines Lebens findet sich nicht in einem Coaching-Call. Aber vielleicht ist das hier ein Anfang.,Meaning,,http://FYF.studio,https://fyf.studio/events/purpose-discovery-workshop,Sinn & Bedeutung,Offenes Fenster zu unbekanntem Horizont,"Du siehst das, weil du dir keinen Coaching-Bullshit mehr anhören willst, sondern den echten Sinn in deinem Leben finden willst. |",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_sinn_bedeutung_purpose_discovery_workshop.jpg
Jenny Odell – How to Do Nothing,People,"Sie lebt, was FYF lehrt: Stillstand als bewusste Entscheidung, nicht als Versagen.",Meaning,,http://jennyodell.com,https://www.jennyodell.com/howtodonothing.html,Freiheit & Orte,stillstehende Uhr auf Holzfläche,"- „Du siehst diesen Inhalt, weil du den Mut hast, Stillstand als eine bewusste Entscheidung zu akzeptieren, anstatt dich im Hamsterrad der ständigen Aktivität zu verlieren.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_freiheit_orte_jenny_odell_how.jpg
Why Attention is the New IQ,Artikel,Intelligenz ohne Aufmerksamkeit ist wie ein Ferrari ohne Benzin. Du hast das Potenzial – nutzt du es?,,,Farnam Street,https://fs.blog/attention-new-iq,Fokus & Flow,Einzelner Lichtstrahl im leeren Raum,"- „Du siehst diesen Artikel, weil du keine Zeit für leere Versprechen hast und wirklich verstehen willst, warum der Fokus entscheidend ist.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_fokus_flow_why_attention_is.jpg
Why We Can't Manage Time,Podcast,"Zeit lässt sich nicht managen, nur bewusst erleben. Kein Hack kann dir mehr Wochen geben.",Meaning,,Oliver Burkeman,https://www.oliverburkeman.com/fourhundredweeks,Zeit & Endlichkeit,Zerbrochene Uhr im Morgennebel,"- „Du siehst diesen Podcast, weil du die Illusion von Zeitmanagement hinterfragen willst, anstatt dich mit leeren Versprechen abzufinden.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_zeit_endlichkeit_why_we_cant.jpg
Zwischen Reiz und Reaktion,Zitat,In diesem Raum liegt unsere Macht zu wählen. Bewusstsein = Freiheit.,Meaning,,Viktor Frankl,https://www.themarginalian.org/frankl-between-stimulus-response,Zeit & Endlichkeit,Schwelle zwischen zwei leeren Räumen,"- „Du siehst das, weil du die Freiheit zur Wahl in einer Welt der Reizüberflutung brauchst.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_zeit_endlichkeit_zwischen_reiz_und.jpg
Your Life in Weeks,Artikel,Jede Woche ist ein Pixel deiner Lebensgeschichte. Das ist kein Quick Win – das ist Fundament.,Meaning,,Wait But Why,https://waitbutwhy.com/2014/05/life-weeks.html,Zeit & Endlichkeit,Verblassendes Raster auf weißem Grund,"- „Du siehst diesen Artikel, weil du realisieren musst, dass Zeit nicht wartet und jede Woche zählt.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_zeit_endlichkeit_your_life_in.jpg
Begrenzung ist Befreiung,Zitat,"Weniger Optionen, mehr Klarheit. Das Gegenteil von dem, was dir Social Media erzählt.",Positive Emotions,,FYF Manifesto,https://fuckyourfuture.com/manifesto,Fokus & Flow,Rahmen um leere weiße Fläche,"- „Du siehst diesen Inhalt, weil du gerade eine klare Ansage brauchst, statt dich in endlosen Möglichkeiten zu verlieren.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_fokus_flow_begrenzung_ist_befreiung.jpg
Deep Work vs. Shallow Habits,Podcast,"Fokus brauchst du nicht finden, du musst ihn zulassen. Kein To-Do-App rettet dich, wenn du nie Nein sagst.",Engagement,,Cal Newport,https://calnewport.com/deep-work,Fokus & Flow,Stille Wasseroberfläche versus zerbrochenes Glas,"- „Du siehst das, weil du mal wieder den Fokus verlierst und keine Lust auf oberflächliche Lösungen hast.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_fokus_flow_deep_work_vs.jpg
You Don't Have to Be Happy to Have Meaning,Artikel,"Sinn braucht keine Smileys. Die wichtigsten Entscheidungen triffst du nicht aus Freude, sondern aus Überzeugung.",Meaning,,Psyche Magazine,https://psyche.co/ideas/you-dont-have-to-be-happy-to-have-meaning,Sinn & Bedeutung,Grauer Himmel über festem Fundament,"- „Du siehst diesen Artikel, weil du wissen willst, dass es auch ohne Glück eine tiefere Bedeutung im Leben gibt.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_sinn_bedeutung_you_dont_have.jpg
10 Best Coworking Spaces in Bali for Deep Work,Artikel,"Such Orte, die dich fokussieren, nicht betäuben. Bali ist kein Traumziel, sondern eine Probe.",,,Nomad List,https://nomadlist.com/bali-coworking-spaces,Freiheit & Orte,Palmenschatten auf hellem Beton,"Du siehst diesen Artikel, weil du Orte suchst, die dir helfen, dich zu konzentrieren, und nicht nur einen weiteren Instagram-Traum.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_freiheit_orte_10_best_coworking.jpg
The Shadow Side of Paradise,Podcast,Freiheit hat immer einen Preis. Entscheidest du ihn bewusst oder zahlst du ihn unbewusst?,Relationships,,The Nomad Podcast,https://www.thenomadpodcast.com/episodes/shadow-side-paradise,Freiheit & Orte,Stränge aus Licht und Dunst,"- „Du siehst diesen Podcast, weil Freiheit nicht immer das ist, was sie scheint, und du die unbequemen Wahrheiten dazu hören musst.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_freiheit_orte_the_shadow_side.jpg
The Psychology of Enough,Podcast,"Reichtum = Balance, nicht Besitz. Wann hast du genug? Die Antwort entscheidet über deine Freiheit.",Positive Emotions,,Hidden Brain NPR,https://hiddenbrain.org/podcast/the-psychology-of-enough,Geld & Wert,leere Waagschale im Gegenlicht,"- „Du siehst diesen Podcast, weil du die Wahrheit über Geld und Wert wissen willst, ohne die rosarote Brille.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_geld_wert_the_psychology_of.jpg
Austin Kleon – Show Your Work,People,"Teilen ist Substanz, nicht Selbstvermarktung. Kleon zeigt, wie du gibst, ohne dich zu verkaufen.",Relationships,,http://austinkleon.com,https://austinkleon.com/show-your-work,Kultur & Stimmen,Offene Tür zu hellem Treppenhaus,"- „Du siehst das, weil du nicht noch mehr Selbstvermarktung brauchst, sondern echte Substanz.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_kultur_stimmen_austin_kleon_show.jpg
Money as Energy,Artikel,Geld ist gespeicherte Zeit. Zeit ist gespeicherte Aufmerksamkeit. Wo investierst du wirklich?,Meaning,,Aeon Magazine,https://aeon.co/essays/money-is-not-wealth-time-attention-and-life-energy-are,Geld & Wert,Licht fließt über kahle Wand,"- „Du siehst diesen Artikel, weil du wissen willst, wie Geld wirklich funktioniert und nicht nur, was dir die Werbung verkauft.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_geld_wert_money_as_energy.jpg
Héctor García & Francesc Miralles – Ikigai,People,"Ikigai ist kein Trend, sondern eine Praxis. Sie zeigen, wie Sinn im Alltag entsteht.",Meaning,,Ikigai Authors,https://www.penguinrandomhouse.com/books/538186/ikigai-by-hector-garcia-and-francesc-miralles,Sinn & Bedeutung,Kreuzung vier leerer Wege,"- „Du siehst diesen Inhalt, weil du die Suche nach Sinn im Alltag leid bist und echte Praktiken statt Trends willst.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_sinn_bedeutung_hector_garcia_francesc.jpg
Morgan Housel – The Psychology of Money,People,"Er schreibt über Geld wie ein Philosoph, nicht wie ein Berater. Verhalten schlägt Wissen.",,,http://morganhousel.com,https://www.morganhousel.com/the-psychology-of-money,Geld & Wert,Rost und Gold nebeneinander,"- „Du siehst diesen Inhalt, weil du nicht nur nach Zahlen, sondern nach dem verstehst, was Geld wirklich mit Menschen macht.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_geld_wert_morgan_housel_the.jpg
Erykah Badu – Didn't Cha Know,Song,"Manchmal sagt Musik mehr als alle Artikel. Badu singt über Erkenntnis, nicht über Gefühle.",Positive Emotions,,Spotify,https://open.spotify.com/track/4F7cbKTjOHZvNaVLQpMw9s,Kultur & Stimmen,Vinyl dreht sich in Stille,"- ""Du siehst diesen Song, weil du keine Lust auf leere Phrasen hast und echte Erkenntnisse brauchst.""",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_kultur_stimmen_erykah_badu_didnt.jpg
Purpose Isn't a Job Title,Podcast,"Purpose findest du nicht in LinkedIn, sondern in dem, was du tust, wenn niemand zuschaut.",Meaning,,On Being,https://onbeing.org/programs/purpose-conversations,Sinn & Bedeutung,Leerer Schreibtisch im Nachtlicht,"- „Du siehst diesen Podcast, weil du keinen Bock auf Titel und Floskeln hast, sondern nach echtem Sinn suchst, wenn die Welt dir gerade nicht die Antworten gibt.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_sinn_bedeutung_purpose_isnt_a.jpg
Art as Resistance in the Attention Economy,Artikel,"Kultur ist nicht Konsum, sondern Widerstand. Was du erschaffst, formt die Welt mehr als das, was du kaufst.",Meaning,,The Atlantic,https://www.theatlantic.com/technology/archive/art-resistance-attention-economy,Kultur & Stimmen,Weiße Wand mit schwarzem Riss,"- „Du siehst diesen Artikel, weil du gerade gegen den Strom schwimmen willst und nicht für Konsum, sondern für echten Widerstand stehst.“",/Users/melissaconrads/Desktop/MVP2/docs/assets/images/feed_visuals/fyf_kultur_stimmen_art_as_resistance.jpg